KEY,"No"
NEWBIE_ATTENDANCE_NAME_8_2,"2"
NEWBIE_ATTENDANCE_DESC_8_2,"2"
NEWBIE_ATTENDANCE_NAME_8_3,"3"
NEWBIE_ATTENDANCE_DESC_8_3,"3"
NEWBIE_ATTENDANCE_NAME_9_1,"1"
NEWBIE_ATTENDANCE_DESC_9_1,"1"
NEWBIE_ATTENDANCE_NAME_9_2,"2"
NEWBIE_ATTENDANCE_DESC_9_2,"2"
NEWBIE_ATTENDANCE_NAME_9_3,"3"
NEWBIE_ATTENDANCE_DESC_9_3,"3"
NEWBIE_ATTENDANCE_NAME_9_4,"4"
NEWBIE_ATTENDANCE_DESC_9_4,"4"
NEWBIE_ATTENDANCE_NAME_9_5,"5"
NEWBIE_ATTENDANCE_DESC_9_5,"5"
NEWBIE_ATTENDANCE_NAME_9_6,"6"
NEWBIE_ATTENDANCE_DESC_9_6,"6"
NEWBIE_ATTENDANCE_NAME_9_7,"7"
NEWBIE_ATTENDANCE_DESC_9_7,"7"
NEWBIE_ATTENDANCE_NAME_9_8,"8"
NEWBIE_ATTENDANCE_DESC_9_8,"8"
NEWBIE_ATTENDANCE_NAME_10_1,"1"
NEWBIE_ATTENDANCE_DESC_10_1,"1"
NEWBIE_ATTENDANCE_NAME_10_2,"2"
NEWBIE_ATTENDANCE_DESC_10_2,"2"
NEWBIE_ATTENDANCE_NAME_11_1,"1"
NEWBIE_ATTENDANCE_DESC_11_1,"1"
NEWBIE_ATTENDANCE_NAME_11_2,"2"
NEWBIE_ATTENDANCE_DESC_11_2,"2"
NEWBIE_ATTENDANCE_NAME_11_3,"3"
NEWBIE_ATTENDANCE_DESC_11_3,"3"
NEWBIE_ATTENDANCE_NAME_11_4,"4"
NEWBIE_ATTENDANCE_DESC_11_4,"4"
NEWBIE_ATTENDANCE_NAME_11_5,"5"
NEWBIE_ATTENDANCE_DESC_11_5,"5"
NEWBIE_ATTENDANCE_NAME_11_6,"6"
NEWBIE_ATTENDANCE_DESC_11_6,"6"
NEWBIE_ATTENDANCE_NAME_11_7,"7"
NEWBIE_ATTENDANCE_DESC_11_7,"7"
NEWBIE_ATTENDANCE_NAME_11_8,"8"
NEWBIE_ATTENDANCE_DESC_11_8,"8"
NEWBIE_ATTENDANCE_NAME_12_1,"1"
NEWBIE_ATTENDANCE_DESC_12_1,"1"
NEWBIE_ATTENDANCE_NAME_12_2,"2"
NEWBIE_ATTENDANCE_DESC_12_2,"2"
NEWBIE_ATTENDANCE_NAME_13_1,"1"
NEWBIE_ATTENDANCE_DESC_13_1,"1"
NEWBIE_ATTENDANCE_NAME_13_2,"2"
NEWBIE_ATTENDANCE_DESC_13_2,"2"
NEWBIE_ATTENDANCE_NAME_13_3,"3"
NEWBIE_ATTENDANCE_DESC_13_3,"3"
NEWBIE_ATTENDANCE_NAME_13_4,"4"
NEWBIE_ATTENDANCE_DESC_13_4,"4"
NEWBIE_ATTENDANCE_NAME_14_1,"1"
NEWBIE_ATTENDANCE_DESC_14_1,"1"
NEWBIE_ATTENDANCE_NAME_14_2,"2"
NEWBIE_ATTENDANCE_DESC_14_2,"2"
NEWBIE_ATTENDANCE_NAME_15_1,"1"
NEWBIE_ATTENDANCE_DESC_15_1,"1"
NEWBIE_ATTENDANCE_NAME_15_2,"2"
NEWBIE_ATTENDANCE_DESC_15_2,"2"
VERONICAS_SPECIAL_PACKAGE_1,"1"
VERONICAS_SPECIAL_PACKAGE_2,"1"
VERONICAS_SPECIAL_PACKAGE_3,"1"
VERONICAS_SPECIAL_PACKAGE_4,"1"
VERONICAS_SPECIAL_PACKAGE_5,"1"
VERONICAS_SPECIAL_PACKAGE_6,"1"
VERONICAS_SPECIAL_PACKAGE_7,"1"
VERONICAS_SPECIAL_PACKAGE_8,"1"
VERONICAS_SPECIAL_PACKAGE_9,"1"
VERONICAS_SPECIAL_PACKAGE_10,"1"
VERONICAS_SPECIAL_PACKAGE_11,"1"
VERONICAS_SPECIAL_PACKAGE_12,"1"
VERONICAS_SPECIAL_PACKAGE_13,"1"
VERONICAS_SPECIAL_PACKAGE_14,"1"
COMEBACK_ATTENDANCE_1,"1"
COMEBACK_ATTENDANCE_2,"1"
COMEBACK_ATTENDANCE_3,"1"
COMEBACK_ATTENDANCE_4,"1"
COMEBACK_ATTENDANCE_5,"1"
COMEBACK_ATTENDANCE_6,"1"
COMEBACK_ATTENDANCE_7,"1"
7DAYS_SPECIAL_ATTENDANCE_1,"1"
7DAYS_SPECIAL_ATTENDANCE_2,"1"
7DAYS_SPECIAL_ATTENDANCE_3,"1"
7DAYS_SPECIAL_ATTENDANCE_4,"1"
7DAYS_SPECIAL_ATTENDANCE_5,"1"
7DAYS_SPECIAL_ATTENDANCE_6,"1"
7DAYS_SPECIAL_ATTENDANCE_7,"1"
8CHAPTER_SPECIAL_ATTENDANCE_1,"1"
8CHAPTER_SPECIAL_ATTENDANCE_2,"1"
8CHAPTER_SPECIAL_ATTENDANCE_3,"1"
8CHAPTER_SPECIAL_ATTENDANCE_4,"1"
8CHAPTER_SPECIAL_ATTENDANCE_5,"1"
8CHAPTER_SPECIAL_ATTENDANCE_6,"1"
8CHAPTER_SPECIAL_ATTENDANCE_7,"1"
MAY_SPECIAL_PACKAGE_1,"1"
MAY_SPECIAL_PACKAGE_2,"1"
MAY_SPECIAL_PACKAGE_3,"1"
MAY_SPECIAL_PACKAGE_4,"1"
MAY_SPECIAL_PACKAGE_5,"1"
MAY_SPECIAL_PACKAGE_6,"1"
MAY_SPECIAL_PACKAGE_7,"1"
MAY_SPECIAL_PACKAGE_8,"1"
MAY_SPECIAL_PACKAGE_9,"1"
MAY_SPECIAL_PACKAGE_10,"1"
MAY_SPECIAL_PACKAGE_11,"1"
MAY_SPECIAL_PACKAGE_12,"1"
MAY_SPECIAL_PACKAGE_13,"1"
MAY_SPECIAL_PACKAGE_14,"1"
COMEBACK_ATTENDANCE_RENEWAL_1,"1"
COMEBACK_ATTENDANCE_RENEWAL_2,"1"
COMEBACK_ATTENDANCE_RENEWAL_3,"1"
COMEBACK_ATTENDANCE_RENEWAL_4,"1"
COMEBACK_ATTENDANCE_RENEWAL_5,"1"
COMEBACK_ATTENDANCE_RENEWAL_6,"1"
COMEBACK_ATTENDANCE_RENEWAL_7,"1"
2019_MAY_NEWBIE_ATTENDANCE_1,"1"
2019_MAY_NEWBIE_ATTENDANCE_2,"1"
2019_MAY_NEWBIE_ATTENDANCE_3,"1"
2019_MAY_NEWBIE_ATTENDANCE_4,"1"
2019_MAY_NEWBIE_ATTENDANCE_5,"1"
2019_MAY_NEWBIE_ATTENDANCE_6,"1"
2019_MAY_NEWBIE_ATTENDANCE_7,"1"
2019_MAY_NEWBIE_ATTENDANCE_8,"1"
2019_MAY_NEWBIE_ATTENDANCE_9,"1"
2019_MAY_NEWBIE_ATTENDANCE_10,"1"
2019_MAY_NEWBIE_ATTENDANCE_11,"1"
2019_MAY_NEWBIE_ATTENDANCE_12,"1"
2019_MAY_NEWBIE_ATTENDANCE_13,"1"
2019_MAY_NEWBIE_ATTENDANCE_14,"1"
9TH_CHAPTER_ATTENDANCE_1,"1"
9TH_CHAPTER_ATTENDANCE_2,"1"
9TH_CHAPTER_ATTENDANCE_3,"1"
9TH_CHAPTER_ATTENDANCE_4,"1"
9TH_CHAPTER_ATTENDANCE_5,"1"
9TH_CHAPTER_ATTENDANCE_6,"1"
9TH_CHAPTER_ATTENDANCE_7,"1"
9TH_CHAPTER_ATTENDANCE_8,"1"
9TH_CHAPTER_ATTENDANCE_9,"1"
9TH_CHAPTER_ATTENDANCE_10,"1"
9TH_CHAPTER_ATTENDANCE_11,"1"
9TH_CHAPTER_ATTENDANCE_12,"1"
9TH_CHAPTER_ATTENDANCE_13,"1"
9TH_CHAPTER_ATTENDANCE_14,"1"
